equipment_name,maker,model,category,note
DC모듈전원공급기,Agilent,N6712,전원공급기,
DC시스템전원공급기,Sorensen,XTR 33-25,전원공급기,
AC전원공급기,Agilent,6813B,전원공급기,
전자로드,Agilent,N3300A,부하장비,
오실로스코프,Agilent,DSOX4054A,계측기,
디지털멀티미터,Agilent,34410A,계측기,
스펙트럼분석기,Agilent,N9030A-544,계측기,
파워메터,Agilent,N1912A,계측기,
파워센서,Agilent,N1922A,계측기,
방송용모니터,TVLogic,LVM-091W-M,표시장치,
방송용모니터,Advantech,FPM-5191G,표시장치,동일 장비군 추가 모델
터미네이션,Aeroflex,TN180F-50W,RF 부하/종단,
감쇄기,Aeroflex,18N50W-30,RF 부하/감쇄,
아날로그신호발생기,Agilent,E8257D,신호발생기,
벡터신호발생기,Agilent,E8267D,신호발생기,
PXI 메인프레임,NI,778645-01(PXI-1045),PXI/제어,
MAI-4,NI,778640-03(PXI-PCI8331),PXI/제어,
RS232/422통신모듈,Advantech,MIC-3612/3,통신모듈,
CAN통신모듈,NI,780687-02 (PXI-8512/2),통신모듈,
임의파형발생기,Geotest,GX1120,신호발생기,
디지털 I/O,Geotest,GX5642,디지털 I/O,
매트릭스 스위치모듈,Geotest,GX6384-3,스위치/릴레이,
SPST Relays,Geotest,GX6138,스위치/릴레이,
LAN통신,Advantech,PCIE-1674PC,통신모듈,
LAN스위치허브,3COM,JD990A,네트워크,
무정전전원장치,APC,SUA1000RMI2U,전원공급기,
제어장치,Advantech,ACP-4000MB,제어장치,
