test_id,system_name,field_guidance
T01,IFCC,시험치구1 / 케이블조립체(TW101) / 전원 회로카드 조립체 우선 점검
T02,PMU,"케이블조립체(TW102,TW103) / 전원입력필터 회로카드 / 전원분배 회로카드 우선 점검"
T03,APLT,케이블조립체(TW104) / 제어 회로카드 / RF모듈 회로카드 우선 점검
T04,AICA,"케이블조립체(TW201,TW202) / 전원공급 회로카드 / 제어 및 연동 회로카드 우선 점검"
T05,APRA,케이블조립체(TW203) / 고출력증폭 회로카드 / 상하향변환 회로카드 우선 점검
T06,ASCA,케이블조립체(TW204) / ASCA교체 / 입력전원 경로 우선 점검
T07,APDU,케이블조립체(TW205) / APDU 교체 / 20V·28V·31.5V 입력전원 우선 점검
T08,GICA,"케이블조립체(TW301,TW303,TW304,TW306) / 제어및연동반조립체 / 주링크모뎀반조립체 우선 점검"
T09,RICA,"케이블조립체(TW301,TW303,TW304,TW306) / 동기제어반조립체 / 전원공급반조립체 우선 점검"
T10,GPAA,케이블조립체(TW401~TW405) / 자동추적반 / 제어 및 연동반 우선 점검
T11,RPAA,케이블조립체(TW401~TW405) / 자동추적반 / 페데스탈반 우선 점검
T12,GPRA,전원공급반 / 상하향 변환반 / 고출력 증폭반 우선 점검
T13,RPRA(F),전원공급반 / 상하향 변환반 / 이중통신반 우선 점검
T14,RPRA(B),전원함 조립체 / 상하향변환회로카드조립체 / 고출력증폭반 우선 점검
T15,GSCA,"케이블조립체(TW504,TW505) / 지상보조통신모듈조립체 / 송신출력 경로 우선 점검"
T16,RSCA,"케이블조립체(TW504,TW505) / 전방향 모듈조립체 / 후방향 모듈조립체 우선 점검"
T17,GPSA,EMI필터 / 지상전원공급조립체 / 커패시터조립체 우선 점검
T18,TCA,"케이블조립체(TW605,TW606) / 시스템제어기조립체 / 추적제어기조립체 우선 점검"
T19,EOTS,케이블조립체(TW601) / 안정화제어조립체 / 전원모터구동기판조립체 우선 점검
